Group,Level,Code,Name,Grade,Kor,ENG DESC,PopUpDESC,Property
Octopus,1,100,OctopusThirdAttackBoost,B,3회 공격마다 100% 추가데미지 (투사체 컬러 변경),Octopus deals 100% bonus damage every 3 attacks.,Octopus deals 100% bonus damage every 3 attacks.,1
Octopus,3,100,OctopusPoisonAttack,P,적을 공격하면  초당 공격력의 20% 데미지를 주는 중독을 3초간 발생시킵니다.,Octopus attack inflicts 20% poison damage/sec for 3s.,Octopus attack inflicts 20% poison damage/sec for 3s.,1
Octopus,5,100,OctopusBleedDamageBoost,G,출혈중인 적 추가데미지 150%,Octopus deals +{150%} damage to bleeding enemies,Octopus deals +{150%} damage to bleeding enemies,1
Octopus,7,100,OctopusPoisonDamageBoost,B,중독 피해가 초당 30% 증가,Octopus attack inflicts increase 20% > 30% poison damage/sec,Octopus attack inflicts increase 20% > 30% poison damage/sec,1
Octopus,9,100,OctopusPoisonDurationBoost,G,중독 지속시간 2초 증가,Bleeding from Octopus lasts 2s longer,Bleeding from Octopus lasts 2s longer,1
Octopus,11,100,OctopusDamageBoost,P,공력력 19% 증가,Octupus's damage increases by +{19%},Octupus's damage increases by +{19%},1
Octopus,13,100,OctopusRateBoost,B,공격속도 9% 증가 (최대 4회),Octopus's attack speed increases by +{9%},Octopus's attack speed increases by +{9%},1
Ogre,1,200,OgreThirdAttackDamageBoost,G,3회 공격마다 100% 추가 데미지,For every 3 attacks  Ogre throws a big rock to deal +{100%} damage,Every 3rd attack  Ogre hurls a powerful rock,1
Ogre,3,200,OgreStatusAilmentSlowEffect,B,상태이상 적 공격시 1초 이동속도 20% 감소,Ogre reduces debuffed enemy's movement speed by 20% for 1 second on attack,Ogre slows down debuffed enemies,1
Ogre,5,200,OgreRangeIncrease,P,사거리 1 증가,Ogre's attack range increases by 1cell radius,Ogre's attack range increases by 1cell radius,1
Ogre,7,200,OgreAttackPowerBoost,G,공격력 4% 증가 (최대 6회),Ogre's damage increases by +{4%},Ogre's damage increases by +{4%},1
Ogre,9,200,OgreStatusAilmentDamageBoost,P,상태이상 적 공격시 50% 확률로 50% 추가데미지,Attacking debuffed foes  Ogre has a 50% chance to deal 50% extra damage.,Ogre can strike debuffed enemies more powerfully,1
Ogre,11,200,OgreAttackSpeedBoost,B,공격속도 9% 증가 (최대 4회),Ogre's attack speed increases by +{9%},Ogre's attack speed increases by +{9%},1
Ogre,13,200,OgreKnockBackChance,B,10% 확률로 적 밀침 (0.5칸),Ogre's attacks have a 10% chance to push enemies back by 0.5-cell radius,Ogre has a 10% chance to push enemies backward,1
DeathChiller,1,300,DeathChillerFreeze,B,15% 확률로 적을 1초간 빙결(이동불가)시킵니다.,Deathchiller has a +{15%} chance to freeze them for 1s,Deathchiller has a +{15%} chance to freeze them for 1s,1
DeathChiller,3,300,DeathChillerFreezeChance,B,빙결 확률이 10% 증가합니다.,Deathchiller freezing chance +{15%},Deathchiller freezing chance +{15%},1
DeathChiller,5,300,DeathChillerSlowDurationBoost,G,둔화 지속시간 0.2초 증가 (최대 5회 / 1초),Deathchiller's slowing lasts {0.2s} longer,Deathchiller's slowing lasts {0.2s} longer,1
DeathChiller,7,300,DeathChillerFreezeDamageBoost,P,C 유닛에게 빙결된 적은 받는 피해 15% 증가,Enemies freezed by Deathchiller take 20% more damage,Enemies freezed by Deathchiller take 20% more damage,1
DeathChiller,9,300,DeathChillerSlowCPowerBoost,B,둔화강도 15% 증가,Deathchiller's slowing effect +{15%},Deathchiller's slowing effect +{15%},1
DeathChiller,11,300,DeathChillerAttackRateBoost,G,공격속도 4% 증가 (최대 6회),Deathchiller's attack speed inceases by +{4%},Deathchiller's attack speed inceases by +{4%},1
DeathChiller,13,300,DeathChillerBackAttackBoost,P,적의 뒤를 공격시 데미지 20% 증가,Deathchiller's deals +20% increased damage when attacking from behind,Deathchiller's deals +20% increased damage when attacking from behind,1
Orc,1,400,OrcSwordScaleIncrease,P,검의 크기가 100% 증가,Orc's sword becomes 100% larger,Orc's sword becomes 100% larger,1
