Color,Code,Type,Property
Green,1,GroupDamage,4
Green,2,GroupAtkSpeed,4
Green,3,Step,2 3 4
Green,4,RandomLevelUp,2 3
Blue,5,GroupLevelUp,0 1 2 3
Green,6,Exp,5
Blue,1,GroupDamage,8
Blue,2,GroupAtkSpeed,6 7 8 9 10
Blue,3,Step,7 8 9 10
Blue,7,Gold,1
Blue,8,CastleMaxHp,200
Blue,9,CastleRecovery,200
Blue,11,Slow,15
Purple,1,GroupDamage,18
Purple,2,GroupAtkSpeed,19
Purple,3,Step,14 15 16 17
Purple,12,StepLimit,1
Purple,13,StepDirection,1
Purple,14,NextStage,1 2
Purple,15,LevelUpPattern,0 1 2 3
Purple,10,Match5Upgrade,1
Purple,16,AddRow,1
