Color,Code,Type,Property
Green,1,GroupDamage,4
Blue,1,GroupDamage,6 7 8 9 10
Purple,1,GroupDamage,18
Green,2,GroupAtkSpeed,3 4 5
Blue,2,GroupAtkSpeed,10 11 12
Purple,2,GroupAtkSpeed,19
Green,3,Step,3 4 5
Blue,3,Step,9 10 11
Purple,3,Step,14 15 16 17
Green,6,Exp,5
Blue,7,Gold,1
Blue,8,CastleMaxHp,200
Blue,9,CastleRecovery,200
Blue,11,Slow,15
Purple,13,StepDirection,1
Purple,14,NextStage,1 2
Green,100,DivineFifthAttackBoost,1
Green,100,DivineDualAttack,1
Blue,100,DivineBindDurationBoost,1
Blue,100,DivineShackledExplosion,1
Blue,100,DivinePoisonDamageBoost,1
Purple,100,DivineBindChanceBoost,1
Purple,100,DivineRateBoost,1
Green,200,DarkFifthAttackDamageBoost,1
Green,200,DarkStatusAilmentSlowEffect,1
Blue,200,DarkRangeIncrease,1
Blue,200,DarkAttackPowerBoost,1
Blue,200,DarkStatusAilmentDamageBoost,1
Purple,200,DarkAttackSpeedBoost,1
Purple,200,DarkKnockBackChance,1
Green,300,WaterFreeze,1
Green,300,WaterFreezeChance,1
Blue,300,WaterSlowDurationBoost,1
Blue,300,WaterFreezeDamageBoost,1
Blue,300,WaterSlowCPowerBoost,1
Purple,300,WaterAttackRateBoost,1
Purple,300,WaterGlobalFreeze,1
Green,400,PhysicalSwordScaleIncrease,1
Green,400,PhysicalSwordAddition,1
Blue,400,PhysicalAttackSpeedBoost,1
Blue,400,PhysicalRatePerAttack,1
Blue,400,PhysicalBindBleed,1
Purple,400,PhysicalDamageBoost,1
Purple,400,PhysicalBleedDuration,1
Green,500,Water2Freeze,1
Green,500,Water2SlowPowerBoost,1
Blue,500,Water2FreezeTimeBoost,1
Blue,500,Water2DamageBoost,1
Blue,500,Water2FreezeChanceBoost,1
Purple,500,Water2FreezeDamageBoost,1
Purple,500,Water2SlowTimeBoost,1
Green,600,PoisonPerHitEffect,1
Green,600,PoisonBleedingEnemyDamageBoost,1
Blue,600,PoisonDamagePerBoost,1
Blue,600,PoisonDamageBoost,1
Blue,600,PoisonDotDamageBoost,1
Purple,600,PoisonAttackSpeedIncrease,1
Purple,600,PoisonDurationBoost,1
Green,700,Fire2FreezeDamageBoost,1
Green,700,Fire2BurnDurationBoost,1
Blue,700,Fire2ChangeProperty,1
Blue,700,Fire2DamageBoost,1
Blue,700,Fire2RangeBoost,1
Purple,700,Fire2RateBoost,1
Purple,700,Fire2BossDamageBoost,1
Green,800,FireBurnPerAttackEffect,1
Green,800,FireStackOverlap,1
Blue,800,FireProjectileBounceDamage,1
Blue,800,FireBurnedEnemyExplosion,1
Blue,800,FireAttackSpeedBoost,1
Purple,800,FireProjectileSpeedIncrease,1
Purple,800,FireProjectileBounceIncrease,1
Green,4,RandomLevelUp,2 3
Purple,12,StepLimit,1
Purple,15,LevelUpPattern,0 1 2 3
Purple,10,Match5Upgrade,1
Purple,16,AddRow,1
Blue,5,GroupLevelUp,0 1 2 3
